Timestamp,Animal,Temperature,Outdoor_Temperature,Humidity,Wind_Speed,Horizontal_Inlet1_Damper_Position,Vertical_Inlet1_Position,Stepless_Gear1,Stepless_Variable_Fan1,Vertical_Multi_Gear1,Vertical_Multi_Gear2,Vertical_Multi_Gear3,trend,daily,weekly
2024-01-27 01:00:00,450.0,9.93550250775,3.802519263,56.398796855,0.0,9.367508441,0.0,22.40000069,29.46666777,0.0,0.0,0.0,57.95685558841717,-1.946348035969166,0.536822467057217
2024-01-27 01:30:00,450.0,9.946450031333333,2.877629916333333,56.28978768,0.0,9.367508441,0.0,22.40000069,29.46666777,0.0,0.0,0.0,57.95587776921551,-1.498888671374299,0.5627663110086448
2024-01-27 02:00:00,450.0,9.9076856636,1.6142515467999998,56.468725078,0.0,9.367508441,0.0,22.40000069,29.466667770000004,0.0,0.0,0.0,57.95489995001387,-1.0653978399978155,0.5886245731370907
2024-01-27 02:30:00,450.0,9.791034326857142,1.0297389154285714,56.63136325285715,0.0,9.367508441,0.0,22.400000689999995,29.46666777,0.0,0.0,0.0,57.95392213081221,-0.6571056632143756,0.6143418199767002
2024-01-27 03:00:00,450.0,9.660787927666666,1.288203101,57.00307884,0.0,9.367508441,0.0,22.40000069,29.46666777,0.0,0.0,0.0,57.952944311610565,-0.2814756557924222,0.6398628094461263
2024-01-27 03:30:00,450.0,9.543422991,1.1985036618,57.12326951,0.0,9.367508441,0.0,22.40000069,29.466667770000004,0.0,0.0,0.0,57.951966492408914,0.05833637909002731,0.6651326627824401
2024-01-27 04:00:00,450.0,9.48790352275,-0.18926127575,56.8036830775,0.0,9.367508441,0.0,22.40000069,29.46666777,0.0,0.0,0.0,57.95098867320727,0.3639763574545674,0.6900970348403109
2024-01-27 04:30:00,450.0,9.395612100833333,-0.3720174241666666,56.770977688333325,0.0,9.367508441,0.0,22.40000069,29.46666777,0.0,0.0,0.0,57.95001085400561,0.6417564095579574,0.7147022823338454
2024-01-27 05:00:00,450.0,9.294980391833333,-0.2997943208333333,57.17718932833333,0.0,9.367508441,0.0,22.40000069,29.46666777,0.0,0.0,0.0,57.94903303480397,0.9014076481436536,0.7388956294728948
2024-01-27 05:30:00,450.0,9.154707011714285,-1.209507687857143,57.29578951714286,0.0,9.367508441,0.0,22.400000689999995,29.46666777,0.0,0.0,0.0,57.94805521560232,1.1535707762307348,0.7626253304013868
2024-01-27 06:00:00,450.0,9.0596873124,-1.3486803628,57.57558675200001,0.0,9.367508441,0.0,22.40000069,29.466667770000004,0.0,0.0,0.0,57.94707739640067,1.4063393508250388,0.7858408279624098
2024-01-27 06:30:00,450.0,8.996217721,-1.93621567175,57.6194753625,0.0,9.367508441,0.0,22.40000069,29.46666777,0.0,0.0,0.0,57.946099577199014,1.6616200095504414,0.8084929083439198
2024-01-27 07:00:00,450.0,8.909506900857142,-2.781979458142857,57.80121641,0.0,9.367508441,0.0,22.400000689999995,29.46666777,0.0,0.0,0.0,57.94512175799737,1.9123514431099913,0.8305338509879999
2024-01-27 07:30:00,450.0,8.839558810333333,-2.801945899333333,58.05278573,0.0,9.367508441,0.0,22.40000069,29.46666777,0.0,0.0,0.0,57.94414393879572,2.141613815201738,0.851917573365445
2024-01-27 08:00:00,450.0,8.752242391,-3.037166067333333,58.35369792833333,0.0,9.367508441,0.0,22.40000069,29.46666777,0.0,0.0,0.0,57.943166119594075,2.3243255047590115,0.8725997702092407
2024-01-27 08:30:00,450.0,8.689292135,-2.868921499,58.65814458,0.0,9.367508441,0.0,22.40000069,29.46666777,0.0,0.0,0.0,57.94218830039242,2.431622133230064,0.8925380466279028
2024-01-27 09:00:00,450.0,8.6517018186,-3.1680502164,58.900944722,0.0,9.367508441,0.0,22.40000069,29.466667770000004,0.0,0.0,0.0,57.94121048119077,2.4372861609555367,0.9116920448126016
2024-01-27 09:30:00,450.0,8.60374027,-3.1915966580000004,58.74321265,0.0,9.367508441,0.0,22.40000069,29.466667770000004,0.0,0.0,0.0,57.940232661989114,2.3249359559548806,0.9300235638626175
2024-01-27 10:00:00,450.0,8.5566923055,-3.38034147025,58.73188636,0.0,9.367508441,0.0,22.40000069,29.46666777,0.0,0.0,0.0,57.93925484278747,2.0942821634480526,0.9474966724058657
2024-01-27 10:30:00,450.0,8.506159621399998,-3.8056898064,58.647862544,0.0,9.367508441,0.0,22.40000069,29.466667770000004,0.0,0.0,0.0,57.938277023585826,1.7647531690752698,0.9640778135699327
2024-01-27 11:00:00,450.0,8.4473302045,-3.72420208375,58.2979164325,0.0,9.367508441,0.0,22.40000069,29.46666777,0.0,0.0,0.0,57.937299204384175,1.3752218551424564,0.9797359021361293
2024-01-27 11:30:00,450.0,8.399253068,-3.5006278756,58.008885566,0.0,9.367508441,0.0,22.40000069,29.466667770000004,0.0,0.0,0.0,57.93632138518253,0.9793615574514277,0.9944424133968831
2024-01-27 12:00:00,450.0,8.358952294,-3.6447359748,57.853381760000005,0.0,9.367508441,0.0,22.40000069,29.466667770000004,0.0,0.0,0.0,57.93534356598087,0.6371485900090748,1.0081714635672085
2024-01-27 12:30:00,450.0,8.33402543375,-3.69265715275,57.781719045,0.0,9.367508441,0.0,22.40000069,29.46666777,0.0,0.0,0.0,57.93436574677923,0.4039793226425424,1.020899881452515
2024-01-27 13:00:00,450.0,8.3133085665,-3.737177124,58.148757765,0.0,9.367508441,0.0,22.40000069,29.46666777,0.0,0.0,0.0,57.93338792757758,0.3195449508373186,1.0326072711738203
2024-01-27 13:30:00,450.0,8.296010811,-3.9507621286666654,58.50583557666666,0.0,9.367508441,0.0,22.40000069,29.46666777,0.0,0.0,0.0,57.93241010837593,0.3988263620998969,1.0432760657189697
2024-01-27 14:00:00,450.0,8.27673799025,-4.19894002775,58.59280787,0.0,9.367508441,0.0,22.40000069,29.46666777,0.0,0.0,0.0,57.931432289174275,0.6272585301693476,1.0528915712416353
